,BTC_Daily_Return,LINK_Daily_Return,BTC_Close,LINK_Close,BTC_Volume,LINK_Volume,Price_Ratio,BTC_Supply_Proxy,LINK_Supply_Proxy,BTC_Demand_Proxy,LINK_Demand_Proxy,BTC_Market_Value_Proxy,LINK_Market_Value_Proxy
BTC_Daily_Return,1.0,0.597221081080368,0.017571054933776538,0.024680484520896825,0.010210547161534616,-0.017094270667050604,-0.028446635463334653,-0.052769906197449375,-0.028509066641869592,0.07164537630553644,-0.007218287473237575,-0.01617477818339699,-0.025388358715280026
LINK_Daily_Return,0.597221081080368,1.0,-0.005799015311082649,0.02152722738924462,-0.021339599387487956,0.017034634623953184,-0.02676110511165254,-0.060369618977410104,-0.0023914463694373013,0.016147695316071926,0.035622123437364046,-0.027959545132870946,0.0046159126378048495
BTC_Close,0.017571054933776538,-0.005799015311082649,1.0,0.6854716352571105,0.5687569749876885,0.07598117224403898,-0.23939019955468088,0.5627361331844488,0.0767364985527689,0.5699665244375225,0.0754326418387816,0.8387702745228364,0.08907838290881752
LINK_Close,0.024680484520896825,0.02152722738924462,0.6854716352571105,1.0,0.5890288289597413,0.19838936406221733,-0.4907000229333202,0.5840547231624172,0.2002583032157329,0.5896681503531485,0.1974193299169853,0.5790204292890371,0.23424706251073296
BTC_Volume,0.010210547161534616,-0.021339599387487956,0.5687569749876885,0.5890288289597413,1.0,0.41877431454068875,-0.40913564116904966,0.9970206279708432,0.4235730318607332,0.9972351720482204,0.4151783905123999,0.8158721410176917,0.4179537144840629
LINK_Volume,-0.017094270667050604,0.017034634623953184,0.07598117224403898,0.19838936406221733,0.41877431454068875,1.0,-0.10897472395061131,0.42218904945777463,0.9994000488350278,0.4122842716096602,0.9994799169042348,0.22907563663463193,0.9936447902846399
Price_Ratio,-0.028446635463334653,-0.02676110511165254,-0.23939019955468088,-0.4907000229333202,-0.40913564116904966,-0.10897472395061131,1.0,-0.40580647954863813,-0.11048743052384763,-0.40975492160578814,-0.10794253313252213,-0.16557190814635145,-0.09122700291756729
BTC_Supply_Proxy,-0.052769906197449375,-0.060369618977410104,0.5627361331844488,0.5840547231624172,0.9970206279708432,0.42218904945777463,-0.40580647954863813,1.0,0.4283035273387113,0.9885985879462333,0.4175135905351519,0.8129543523445862,0.4223026262978293
LINK_Supply_Proxy,-0.028509066641869592,-0.0023914463694373013,0.0767364985527689,0.2002583032157329,0.4235730318607332,0.9994000488350278,-0.11048743052384763,0.4283035273387113,1.0,0.41582966730933024,0.9978017998036834,0.2320906612006417,0.9939736684449568
BTC_Demand_Proxy,0.07164537630553644,0.016147695316071926,0.5699665244375225,0.5896681503531485,0.9972351720482204,0.4122842716096602,-0.40975492160578814,0.9885985879462333,0.41582966730933024,1.0,0.409736699717012,0.8128332914315801,0.41055054944814817
LINK_Demand_Proxy,-0.007218287473237575,0.035622123437364046,0.0754326418387816,0.1974193299169853,0.4151783905123999,0.9994799169042348,-0.10794253313252213,0.4175135905351519,0.9978017998036834,0.409736699717012,1.0,0.22677690961179614,0.9923232645082646
BTC_Market_Value_Proxy,-0.01617477818339699,-0.027959545132870946,0.8387702745228364,0.5790204292890371,0.8158721410176917,0.22907563663463193,-0.16557190814635145,0.8129543523445862,0.2320906612006417,0.8128332914315801,0.22677690961179614,1.0,0.24078393098385867
LINK_Market_Value_Proxy,-0.025388358715280026,0.0046159126378048495,0.08907838290881752,0.23424706251073296,0.4179537144840629,0.9936447902846399,-0.09122700291756729,0.4223026262978293,0.9939736684449568,0.41055054944814817,0.9923232645082646,0.24078393098385867,1.0
